userID	name	rating
2	Duran Duran	13883
2	Morcheeba	11690
2	Air	11351
2	Hooverphonic	10300
2	Kylie Minogue	8983
2	Daft Punk	6152
2	Thievery Corporation	5955
2	Goldfrapp	4616
2	New Order	4337
2	Matt Bianco	4147
2	Talk Talk	3923
2	Prefab Sprout	3782
2	Enigma	3735
2	Röyksopp	3644
2	Coldplay	3579
2	Faithless	3312
2	Madonna	3301
2	Icehouse	2927
2	Sade	2720
2	Moby	2686
2	Dido	2654
2	Depeche Mode	2619
2	Café Del Mar	2584
2	Basia	2547
2	Camouflage	2397
2	Electronic	2382
2	George Michael	2120
2	The Adventures	2119
2	Fiction Factory	1990
2	Groove Armada	1972
2	Portishead	1948
2	Marc Almond	1868
2	Cock Robin	1792
2	Cut Copy	1740
2	Spandau Ballet	1638
2	Katie Melua	1594
2	Deacon Blue	1559
2	Gorillaz	1553
2	Lady Gaga	1519
2	Kosheen	1471
2	Nik Kershaw	1438
2	Vitamin Z	1411
2	Jean-Michel Jarre	1407
2	Ministry of Sound	1373
2	Simply Red	1363
2	Fleetwood Mac	1342
2	Duffy	1337
2	Japan	1332
2	INXS	1330
2	ABC	1315
3	Pleq	13176
3	Segue	662
3	Max Richter	493
3	Celer	431
3	Pjusk	403
3	Pleq & Segue	354
3	Burial	269
3	Magnitophono	236
3	andy graydon	215
3	ddekombinacja	215
3	Pleq & Anna Rose Carter	212
3	Go Koyashiki	193
3	Dustin O'Halloran	187
3	offthesky	167
3	Nebulo	163
3	Fjordne	154
3	Pleq & Chihiro	151
3	Spyweirdos	142
3	billy gomberg + offthesky	142
3	Deru	125
3	Lukid	111
3	Manekinekod	108
3	Danny Norbury	104
3	Shinkei & Mise En Scene	99
3	aslope	98
3	The Notwist	94
3	Off the Sky	89
3	strom noir	89
3	Aless	86
3	Philippe Lamy	85
3	Part Timer	84
3	Deaf Center	83
3	Lauki	83
3	Big Brotherz	77
3	cokiyu	77
3	Verbose	76
3	Worm Is Green	75
3	Library Tapes	72
3	Richard Skelton	72
3	Matryoshka	71
3	Aidan Baker	70
3	Ylid	70
3	Daisuke Miyatani	70
3	Dakota Suite	69
3	Ryonkt	68
3	Hird	67
3	Svarte Greiner	67
3	The Boats	66
3	The Sound Of Lucrecia	66
3	Porzellan	65
4	Duran Duran	228
4	Air	686
4	Röyksopp	420
4	Coldplay	301
4	Moby	389
4	Depeche Mode	4983
4	George Michael	396
4	Deep Forest	1807
4	Porcupine Tree	1208
4	De/Vision	903
4	Radiohead	826
4	Robbie Williams	777
4	VAST	743
4	Michael Jackson	732
4	עברי לידר	729
4	The Cure	724
4	אביב גפן	712
4	Enrique Iglesias	632
4	God Is an Astronaut	524
4	Pink Floyd	465
4	יוני בלוך	455
4	Planet Funk	446
4	The Cranberries	445
4	Scissor Sisters	407
4	דניאל סלומון	404
4	אביתר בנאי	384
4	Mew	366
4	Stereophonics	359
4	Garbage	309
4	Placebo	292
4	Infected Mushroom	287
4	Delerium	285
4	Scorpions	284
4	Rock Star Supernova	284
4	Dolores O'Riordan	279
4	Tommy Lee	264
4	Roxette	256
4	Paradise Lost	255
4	Keane	254
4	Jamiroquai	253
4	James Blunt	247
4	Reamonn	240
4	Blackfield	236
4	a-ha	223
4	Opeth	221
4	Poets of the Fall	210
4	Muse	208
4	OneRepublic	202
4	Elton John	197
4	Tears for Fears	193
5	Air	181
5	Radiohead	884
5	Placebo	241
5	Keane	222
5	Muse	826
5	The Tiger Lillies	777
5	Bright Eyes	673
5	Beirut	620
5	Tom Waits	452
5	System of a Down	451
5	Arcade Fire	374
5	Gogol Bordello	337
5	Ленинград	304
5	CAKE	298
5	Blur	287
5	Damien Rice	283
5	Andrew Bird	275
5	Beck	265
5	Arctic Monkeys	259
5	Babyshambles	255
5	My Chemical Romance	252
5	Bloc Party	229
5	The Decemberists	222
5	Bob Dylan	210
5	Jacques Brel	209
5	DeVotchKa	207
5	Jeff Buckley	196
5	Sparklehorse	192
5	Death Cab for Cutie	185
5	Man Man	184
5	M. Ward	178
5	Red Hot Chili Peppers	170
5	Travis	161
5	Modest Mouse	161
5	Band of Horses	149
5	Yeong-wook Jo	143
5	Interpol	142
5	Queens of the Stone Age	139
5	The Beatles	138
5	Kings of Leon	138
5	The Killers	138
5	Green Day	137
5	Devendra Banhart	134
5	Sunset Rubdown	133
5	Nine Inch Nails	130
5	Nirvana	129
5	Eels	129
